Id,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,Neighborhood,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,TotalBsmtSF,Electrical,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,GarageType,GarageCars,GarageArea,WoodDeckSF,PoolArea,SalePrice
303,RL,118,13704,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2001,2002,Gable,1541,SBrkr,1541,0,1541,2,0,3,1,6,Attchd,3,843,468,0,205000
304,RL,70,9800,Pave,,Reg,CollgCr,1Fam,1Story,5,7,1972,1972,Gable,894,SBrkr,894,0,894,1,0,3,1,5,Attchd,2,552,256,0,149900
305,RM,87,18386,Pave,,Reg,OldTown,1Fam,2.5Fin,7,9,1880,2002,Gable,1470,SBrkr,1675,1818,3493,3,0,3,1,10,Attchd,3,870,302,0,295000
306,RL,80,10386,Pave,,Reg,CollgCr,1Fam,1Story,8,5,2004,2005,Gable,2000,SBrkr,2000,0,2000,2,0,3,1,8,Attchd,3,888,168,0,305900
307,RL,116,13474,Pave,,Reg,SawyerW,1Fam,2Story,7,5,1990,1991,Gable,700,SBrkr,1122,1121,2243,2,1,4,1,8,Attchd,3,746,127,0,225000
308,RM,,7920,Pave,Grvl,IR1,IDOTRR,1Fam,1.5Fin,6,7,1920,1950,Gable,319,FuseA,1035,371,1406,1,0,3,1,6,,0,0,0,0,89500
309,RL,,12342,Pave,,IR1,Edwards,1Fam,1Story,4,5,1940,1950,Gable,861,SBrkr,861,0,861,1,0,1,1,4,Detchd,2,539,158,0,82500
310,RL,90,12378,Pave,,IR1,NridgHt,1Fam,1Story,9,5,2003,2004,Gable,1896,SBrkr,1944,0,1944,2,0,3,1,8,Attchd,3,708,208,0,360000
311,RL,,7685,Pave,,IR1,Gilbert,1Fam,2Story,6,5,1993,1994,Gable,697,SBrkr,697,804,1501,2,1,3,1,6,Attchd,2,420,190,0,165600
312,RL,50,8000,Pave,,Reg,NAmes,1Fam,1Story,6,6,1948,2002,Gable,972,SBrkr,972,0,972,1,0,2,1,5,Detchd,1,240,0,0,132000
313,RM,65,7800,Pave,,Reg,OldTown,2fmCon,1.5Fin,5,7,1939,1950,Gable,793,SBrkr,793,325,1118,1,0,3,1,5,Detchd,2,410,0,0,119900
314,RL,150,215245,Pave,,IR3,Timber,1Fam,1Story,7,5,1965,1965,Hip,2136,SBrkr,2036,0,2036,2,0,3,1,8,Attchd,2,513,0,0,375000
315,RM,60,9600,Pave,Grvl,Reg,OldTown,1Fam,2Story,7,7,1925,1990,Gable,728,SBrkr,832,809,1641,1,1,3,1,6,Detchd,2,546,0,0,178000
316,RL,71,7795,Pave,,IR1,Gilbert,1Fam,2Story,7,5,2004,2005,Gable,716,SBrkr,716,716,1432,2,1,3,1,6,Attchd,2,432,100,0,188500
317,RL,94,13005,Pave,,IR1,NWAmes,1Fam,2Story,7,7,1980,1980,Gable,845,SBrkr,1153,1200,2353,2,1,4,1,10,Attchd,2,484,288,0,260000
318,FV,75,9000,Pave,,Reg,Somerst,1Fam,2Story,8,5,2006,2006,Gable,1088,SBrkr,1088,871,1959,2,1,3,1,8,Attchd,3,1025,208,0,270000
319,RL,90,9900,Pave,,Reg,NoRidge,1Fam,2Story,7,5,1993,1993,Gable,1347,SBrkr,1372,1274,2646,2,1,4,1,9,Attchd,3,656,340,0,260000
320,RL,,14115,Pave,,Reg,NWAmes,1Fam,SLvl,7,5,1980,1980,Gable,1372,SBrkr,1472,0,1472,2,0,3,1,6,Attchd,2,588,233,0,187500
321,RL,111,16259,Pave,,Reg,NridgHt,1Fam,2Story,9,5,2006,2006,Gable,1249,SBrkr,1249,1347,2596,3,1,4,1,9,Attchd,3,840,240,0,342643
322,RL,99,12099,Pave,,IR1,NridgHt,1Fam,2Story,8,5,2004,2004,Gable,1136,SBrkr,1136,1332,2468,2,1,4,1,10,BuiltIn,3,872,184,0,354000
323,RL,86,10380,Pave,,IR1,SawyerW,1Fam,2Story,7,5,1986,1987,Gable,1502,SBrkr,1553,1177,2730,2,1,4,1,8,Attchd,2,576,201,0,301000
324,RM,49,5820,Pave,,Reg,OldTown,1Fam,1Story,3,8,1955,2005,Gable,1162,SBrkr,1163,0,1163,1,0,3,1,6,Attchd,1,220,142,0,126175
325,RL,96,11275,Pave,,Reg,NAmes,1Fam,SLvl,7,7,1967,2007,Mansard,710,SBrkr,1898,1080,2978,2,1,5,1,11,BuiltIn,2,564,240,0,242000
326,RM,50,5000,Pave,,Reg,IDOTRR,1Fam,1.5Unf,5,6,1941,1950,Gable,720,FuseF,803,0,803,1,0,2,1,5,Detchd,2,360,0,0,87000
327,RL,32,10846,Pave,,IR1,Veenker,TwnhsE,1Story,8,5,1993,1993,Gable,1719,SBrkr,1719,0,1719,1,1,1,1,6,Attchd,2,473,122,0,324000
328,RL,80,11600,Pave,,Reg,NAmes,1Fam,1Story,6,5,1960,1960,Hip,1383,SBrkr,1383,0,1383,1,1,3,1,7,Attchd,1,292,0,0,145250
329,RL,,11888,Pave,Pave,IR1,BrkSide,1Fam,2.5Unf,6,6,1916,1994,Gable,844,FuseA,1445,689,2134,2,0,5,1,10,Detchd,2,441,0,0,214500
330,RM,60,6402,Pave,,Reg,IDOTRR,1Fam,2Story,5,5,1920,1950,Gable,596,SBrkr,596,596,1192,1,0,3,1,6,Detchd,1,189,0,0,78000
331,RL,,10624,Pave,,IR1,NAmes,Duplex,1Story,5,4,1964,1964,Gable,1728,SBrkr,1728,0,1728,2,0,6,2,10,Detchd,1,352,155,0,119000
332,RL,70,8176,Pave,,Reg,NAmes,1Fam,1Story,5,6,1958,1992,Gable,1056,SBrkr,1056,0,1056,1,0,3,1,6,Attchd,1,308,0,0,139000
333,RL,85,10655,Pave,,IR1,NridgHt,1Fam,1Story,8,5,2003,2004,Gable,3206,SBrkr,1629,0,1629,2,0,3,1,7,Attchd,3,880,0,0,284000
334,RM,59,8198,Pave,,Reg,NridgHt,TwnhsE,1Story,7,5,2004,2004,Gable,1358,SBrkr,1358,0,1358,2,0,2,1,6,Attchd,2,484,192,0,207000
335,RL,59,9042,Pave,,IR1,Gilbert,1Fam,2Story,6,5,1998,1998,Gable,943,SBrkr,943,695,1638,2,1,3,1,7,Attchd,2,472,100,0,192000
336,RL,,164660,Grvl,,IR1,Timber,2fmCon,1.5Fin,5,6,1965,1965,Gable,1499,SBrkr,1619,167,1786,2,0,3,1,7,Attchd,2,529,670,0,228950
337,RL,86,14157,Pave,,IR1,StoneBr,1Fam,1Story,9,5,2005,2006,Hip,1922,SBrkr,1922,0,1922,2,0,3,1,8,Attchd,3,676,178,0,377426
338,RL,70,9135,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2002,2003,Gable,1536,SBrkr,1536,0,1536,2,0,3,1,7,Attchd,2,532,192,0,214000
339,RL,91,14145,Pave,,Reg,NWAmes,1Fam,1Story,7,7,1984,1998,Gable,1208,SBrkr,1621,0,1621,2,0,3,1,8,Attchd,2,440,108,0,202500
340,RL,66,12400,Pave,,IR1,NAmes,1Fam,1Story,6,7,1958,1998,Hip,1215,FuseA,1215,0,1215,1,0,3,1,6,Attchd,1,297,0,0,155000
341,RL,85,14191,Pave,,Reg,Timber,1Fam,2Story,8,5,2002,2002,Gable,967,SBrkr,993,915,1908,2,1,4,1,9,Attchd,2,431,135,0,202900
342,RH,60,8400,Pave,,Reg,SawyerW,1Fam,1Story,4,4,1950,1950,Gable,721,SBrkr,841,0,841,1,0,2,1,4,CarPort,1,294,250,0,82000
343,RL,,8544,Pave,,Reg,NAmes,Duplex,1Story,3,4,1949,1950,Gable,0,FuseA,1040,0,1040,2,0,2,2,6,Detchd,2,400,0,0,87500
344,RL,63,8849,Pave,,IR1,NridgHt,TwnhsE,1Story,9,5,2005,2005,Hip,1684,SBrkr,1684,0,1684,2,0,2,1,6,Attchd,2,564,495,0,266000
345,RM,36,2592,Pave,,Reg,MeadowV,TwnhsE,2Story,5,3,1976,1976,Gable,536,SBrkr,536,576,1112,1,1,3,1,4,Attchd,1,336,182,0,85000
346,RL,65,6435,Pave,,Reg,BrkSide,1Fam,1.5Fin,6,5,1939,1950,Gable,972,SBrkr,972,605,1577,1,0,3,1,6,Detchd,1,312,0,0,140200
347,RL,,12772,Pave,,IR1,NAmes,1Fam,1Story,6,8,1960,1998,Hip,958,SBrkr,958,0,958,1,0,2,1,5,Attchd,1,301,0,0,151500
348,RL,,17600,Pave,,IR1,NAmes,1Fam,1Story,6,5,1960,1960,Gable,1478,FuseA,1478,0,1478,2,0,3,1,6,Attchd,2,498,0,0,157500
349,RL,36,2448,Pave,,Reg,NridgHt,Twnhs,2Story,7,5,2003,2004,Gable,764,SBrkr,764,862,1626,2,1,2,1,6,BuiltIn,2,474,0,0,154000
350,RL,56,20431,Pave,,IR2,NridgHt,1Fam,2Story,9,5,2005,2006,Hip,1848,SBrkr,1848,880,2728,2,1,4,1,10,Attchd,3,706,0,0,437154
351,RL,68,7820,Pave,,IR1,NridgHt,TwnhsE,1Story,9,5,2007,2007,Hip,1869,SBrkr,1869,0,1869,2,0,2,1,6,Attchd,2,617,210,0,318061
352,RL,,5271,Pave,,IR1,ClearCr,1Fam,1Story,7,5,1986,1986,Gable,1453,SBrkr,1453,0,1453,1,1,2,1,6,Attchd,2,445,0,0,190000
353,RL,60,9084,Pave,,Reg,Edwards,1Fam,1.5Fin,5,6,1941,1950,Gable,616,SBrkr,616,495,1111,1,0,3,1,5,Detchd,1,200,48,0,95000
354,RM,60,8520,Pave,,Reg,OldTown,1Fam,1Story,6,8,1928,2003,Gable,624,SBrkr,720,0,720,1,0,2,1,5,Detchd,2,484,106,0,105900
355,RL,60,8400,Pave,,Reg,SWISU,1Fam,1.5Fin,6,5,1940,2000,Gable,940,SBrkr,1192,403,1595,1,0,2,1,6,Attchd,1,240,0,0,140000
356,RL,105,11249,Pave,,IR2,CollgCr,1Fam,1Story,6,5,1995,1995,Gable,1200,SBrkr,1200,0,1200,2,0,3,1,6,Attchd,2,521,0,0,177500
357,RL,,9248,Pave,,IR1,Gilbert,1Fam,1Story,6,6,1992,1992,Gable,1158,SBrkr,1167,0,1167,2,0,3,1,6,Attchd,2,400,120,0,173000
358,RM,44,4224,Pave,,Reg,MeadowV,TwnhsE,1Story,5,5,1976,1976,Gable,1142,SBrkr,1142,0,1142,1,1,3,1,6,Attchd,2,528,536,0,134000
359,RL,92,6930,Pave,,IR1,ClearCr,1Fam,SLvl,5,4,1958,1958,Hip,1062,FuseF,1352,0,1352,1,0,3,1,6,BuiltIn,1,288,168,0,130000
360,RL,78,12011,Pave,,IR1,NoRidge,1Fam,2Story,8,5,1998,1998,Gable,1086,SBrkr,1086,838,1924,2,1,3,1,7,Attchd,2,592,208,0,280000
361,RL,,7540,Pave,,IR1,Mitchel,1Fam,SFoyer,6,6,1978,1978,Gable,888,SBrkr,912,0,912,1,0,2,1,5,Attchd,2,470,0,0,156000
362,RL,,9144,Pave,Pave,Reg,BrkSide,1Fam,1.5Fin,5,5,1940,1982,Gable,883,SBrkr,988,517,1505,1,0,3,1,8,Detchd,1,240,0,0,145000
363,RL,64,7301,Pave,,Reg,Edwards,1Fam,SFoyer,7,5,2003,2003,Gable,0,SBrkr,495,1427,1922,3,0,4,1,7,BuiltIn,2,672,0,0,198500
364,RM,21,1680,Pave,,Reg,BrDale,Twnhs,2Story,6,8,1972,2007,Gable,483,SBrkr,483,504,987,1,1,2,1,5,Detchd,1,264,250,0,118000
365,RL,,18800,Pave,,IR1,NWAmes,1Fam,2Story,6,5,1976,1976,Gable,796,SBrkr,790,784,1574,2,1,3,1,6,Attchd,2,566,306,0,190000
366,RM,59,10690,Pave,,Reg,IDOTRR,1Fam,2Story,5,7,1920,1997,Hip,672,FuseA,672,672,1344,1,0,3,1,6,Detchd,1,468,0,0,147000
367,RL,,9500,Pave,,IR1,NAmes,1Fam,1Story,6,5,1963,1963,Gable,1394,SBrkr,1394,0,1394,1,1,3,1,6,Attchd,2,514,0,0,159000
368,RL,101,9150,Pave,,IR1,NAmes,1Fam,SLvl,6,5,1962,1962,Gable,1099,SBrkr,1431,0,1431,1,0,3,1,6,Basment,1,296,64,0,165000
369,RL,78,7800,Pave,,Reg,NAmes,1Fam,1Story,5,6,1954,1954,Gable,1268,SBrkr,1268,0,1268,1,0,2,1,7,Attchd,1,244,0,0,132000
370,RL,,9830,Pave,,IR1,NAmes,1Fam,1Story,5,7,1959,2006,Gable,1063,SBrkr,1287,0,1287,1,0,3,1,7,Detchd,2,576,364,0,162000
371,RL,,8121,Pave,,IR1,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,953,SBrkr,953,711,1664,2,1,3,1,7,Attchd,2,460,100,0,172400
372,RL,80,17120,Pave,,Reg,ClearCr,1Fam,1.5Fin,4,4,1959,1959,Gable,0,SBrkr,1120,468,1588,2,0,4,1,7,Detchd,2,680,0,0,134432
373,RL,50,7175,Pave,,Reg,SawyerW,TwnhsE,1Story,6,5,1984,1984,Gable,744,SBrkr,752,0,752,1,0,2,1,4,Attchd,1,264,353,0,125000
374,RL,79,10634,Pave,,Reg,NAmes,1Fam,1Story,5,6,1953,1953,Gable,608,SBrkr,1319,0,1319,1,0,3,1,5,Attchd,1,270,66,0,123000
375,RL,65,8200,Pave,,Reg,CollgCr,1Fam,2Story,7,5,2003,2004,Gable,847,SBrkr,847,1081,1928,2,1,4,1,8,BuiltIn,2,434,100,0,219500
376,RL,,10020,Pave,,IR1,Edwards,1Fam,1Story,1,1,1922,1950,Gable,683,FuseA,904,0,904,0,1,1,1,4,,0,0,0,0,61000
377,RL,57,8846,Pave,,IR1,CollgCr,1Fam,SFoyer,5,5,1996,1996,Gable,870,SBrkr,914,0,914,1,0,2,1,5,Detchd,2,576,0,0,148000
378,FV,102,11143,Pave,,IR1,Somerst,1Fam,2Story,8,5,2004,2005,Gable,1580,SBrkr,1580,886,2466,3,0,4,1,8,Attchd,2,610,159,0,340000
379,RL,88,11394,Pave,,Reg,StoneBr,1Fam,1Story,9,2,2010,2010,Hip,1856,SBrkr,1856,0,1856,1,1,1,1,8,Attchd,3,834,113,0,394432
380,RL,60,8123,Pave,,IR1,Gilbert,1Fam,2Story,6,5,2000,2000,Gable,982,SBrkr,1007,793,1800,2,1,3,1,7,Attchd,2,463,100,0,179000
381,RL,50,5000,Pave,Pave,Reg,SWISU,1Fam,1.5Fin,5,6,1924,1950,Gable,1026,SBrkr,1026,665,1691,2,0,3,1,6,Detchd,1,308,0,0,127000
382,FV,60,7200,Pave,Pave,Reg,Somerst,1Fam,1Story,7,5,2006,2006,Gable,1293,SBrkr,1301,0,1301,2,0,2,1,5,Attchd,2,572,216,0,187750
383,RL,79,9245,Pave,,IR1,CollgCr,1Fam,2Story,7,5,2006,2006,Gable,939,SBrkr,939,858,1797,2,1,3,1,8,Attchd,2,639,144,0,213500
384,RH,60,9000,Pave,,Reg,SawyerW,1Fam,1.5Unf,6,3,1928,1950,Gable,784,FuseA,784,0,784,1,0,2,1,5,Detchd,2,360,0,0,76000
385,RL,,53107,Pave,,IR2,ClearCr,1Fam,2Story,6,5,1992,1992,Gable,1580,SBrkr,1079,874,1953,2,1,3,1,9,Attchd,2,501,216,0,240000
386,RL,43,3182,Pave,,Reg,Blmngtn,TwnhsE,1Story,8,5,2004,2005,Gable,1256,SBrkr,1269,0,1269,2,0,2,1,6,Attchd,2,430,146,0,192000
387,RL,58,8410,Pave,,Reg,Edwards,1Fam,1.5Fin,5,3,1910,1996,Gambrel,658,SBrkr,658,526,1184,1,0,5,1,8,,0,0,0,0,81000
388,RL,72,7200,Pave,,Reg,Edwards,1Fam,SLvl,6,6,1976,1976,Hip,1041,SBrkr,1125,0,1125,1,0,3,1,6,Detchd,1,352,296,0,125000
389,RL,93,9382,Pave,,IR1,CollgCr,1Fam,1Story,7,5,1999,2000,Gable,1468,SBrkr,1479,0,1479,2,0,3,1,6,Attchd,2,577,120,0,191000
390,RL,96,12474,Pave,,Reg,NridgHt,1Fam,2Story,10,5,2007,2008,Gable,1682,SBrkr,1742,590,2332,2,1,3,1,9,BuiltIn,3,846,196,0,426000
391,RL,50,8405,Pave,Grvl,Reg,Edwards,1Fam,1.5Fin,5,8,1900,1950,Gable,861,SBrkr,961,406,1367,1,0,4,1,7,Detchd,1,384,0,0,119000
392,RL,71,12209,Pave,,IR1,Mitchel,1Fam,2Story,6,5,2001,2002,Gable,804,SBrkr,804,1157,1961,2,1,3,1,7,BuiltIn,2,560,125,0,215000
393,RL,,8339,Pave,,IR1,NAmes,1Fam,1Story,5,7,1959,1959,Gable,0,SBrkr,882,0,882,1,0,3,1,5,Attchd,1,294,0,0,106500
394,RL,,7446,Pave,,Reg,BrkSide,1Fam,1Story,4,5,1941,1950,Gable,788,FuseA,788,0,788,1,0,2,1,4,,0,0,0,0,100000
395,RL,60,10134,Pave,,Reg,OldTown,1Fam,1.5Fin,5,6,1940,1950,Gable,735,FuseA,735,299,1034,1,0,2,1,5,Detchd,1,240,0,0,109000
396,RL,68,9571,Pave,,Reg,Edwards,1Fam,1Story,5,6,1956,1956,Gable,1144,SBrkr,1144,0,1144,1,0,3,1,6,Attchd,1,596,44,0,129000
397,RL,60,7200,Pave,,Reg,CollgCr,1Fam,1Story,5,5,1972,1972,Hip,894,SBrkr,894,0,894,1,0,2,1,6,Detchd,2,600,215,0,123000
398,RL,69,7590,Pave,,Reg,NAmes,1Fam,2Story,5,5,1962,1962,Gable,864,SBrkr,876,936,1812,2,0,4,1,8,Attchd,1,264,0,0,169500
399,RM,60,8967,Pave,,Reg,IDOTRR,1Fam,1Story,5,2,1920,1950,Gable,961,Mix,1077,0,1077,1,0,2,1,6,Detchd,1,338,0,0,67000
400,FV,65,8125,Pave,,Reg,Somerst,1Fam,2Story,7,5,2006,2007,Gable,1092,SBrkr,1112,438,1550,2,0,2,1,7,Attchd,2,438,0,0,241000
401,RL,38,14963,Pave,,IR2,Veenker,TwnhsE,1Story,8,5,1996,1996,Gable,1260,SBrkr,1288,0,1288,1,1,1,1,4,Attchd,2,500,120,0,245500
402,RL,65,8767,Pave,,IR1,CollgCr,1Fam,1Story,7,5,2005,2005,Gable,1310,SBrkr,1310,0,1310,2,0,3,1,6,Attchd,2,400,0,0,164990
403,RL,60,10200,Pave,,Reg,Sawyer,1Fam,1Story,5,8,1940,1997,Gable,672,SBrkr,672,0,672,1,0,2,1,4,Detchd,1,240,168,0,108000
404,RL,93,12090,Pave,,Reg,NoRidge,1Fam,2Story,8,5,1998,1998,Hip,1141,SBrkr,1165,1098,2263,2,1,4,1,10,BuiltIn,2,420,144,0,258000
405,RL,,10364,Pave,,IR1,Gilbert,1Fam,2Story,6,5,1995,1996,Gable,806,SBrkr,806,766,1572,2,1,3,1,7,BuiltIn,2,373,0,0,168000
406,RL,,9991,Pave,,IR1,Sawyer,1Fam,1Story,4,4,1976,1993,Gable,1281,SBrkr,1620,0,1620,2,0,3,1,8,Attchd,2,490,120,0,150000
407,RL,51,10480,Pave,,Reg,SWISU,1Fam,1.5Fin,6,5,1936,1950,Gable,1064,FuseA,1166,0,1639,1,0,3,1,6,Detchd,1,240,0,0,115000
408,RL,63,15576,Pave,,Reg,Crawfor,1Fam,2Story,6,7,1915,1976,Gable,840,SBrkr,840,840,1680,2,0,4,1,8,Attchd,1,308,0,0,177000
409,RL,109,14154,Pave,,Reg,NridgHt,1Fam,2Story,7,5,2006,2006,Gable,1063,SBrkr,1071,1101,2172,2,1,3,1,9,Attchd,3,947,192,0,280000
410,FV,85,10800,Pave,,Reg,Somerst,1Fam,2Story,8,5,2007,2008,Gable,1034,SBrkr,1050,1028,2078,2,1,3,1,8,Attchd,3,836,0,0,339750
411,RL,68,9571,Pave,,Reg,Edwards,1Fam,1Story,5,3,1958,1958,Gable,1276,FuseA,1276,0,1276,1,0,3,1,5,Attchd,1,350,0,0,60000
412,RL,100,34650,Pave,,Reg,Gilbert,2fmCon,1Story,5,5,1955,1955,Hip,1056,SBrkr,1056,0,1056,1,0,3,1,5,Attchd,2,572,264,0,145000
413,FV,,4403,Pave,,IR2,Somerst,1Fam,1Story,7,5,2009,2009,Gable,1470,SBrkr,1478,0,1478,2,1,2,1,7,Attchd,2,484,0,0,222000
414,RM,56,8960,Pave,Grvl,Reg,OldTown,1Fam,1Story,5,6,1927,1950,Gable,1008,FuseA,1028,0,1028,1,0,2,1,5,Detchd,2,360,0,0,115000
415,RL,59,11228,Pave,,IR2,SawyerW,1Fam,2Story,7,5,1993,1993,Gable,1080,SBrkr,1080,1017,2097,2,1,3,1,9,Attchd,3,678,196,0,228000
416,RL,73,8899,Pave,,IR1,Gilbert,1Fam,1Story,7,5,2007,2007,Gable,1340,SBrkr,1340,0,1340,2,0,3,1,6,Attchd,2,396,100,0,181134
417,RL,74,7844,Pave,,Reg,Sawyer,1Fam,2Story,6,7,1978,1978,Hip,672,SBrkr,672,728,1400,1,1,3,1,6,Attchd,2,440,0,0,149500
418,RL,86,22420,Pave,,IR1,Crawfor,1Fam,2Story,6,6,1918,1950,Hip,1370,FuseA,1370,1254,2624,2,1,4,1,10,Detchd,3,864,0,0,239000
419,RL,60,8160,Pave,,Reg,Edwards,1Fam,1.5Fin,5,6,1940,1950,Gable,756,FuseF,756,378,1134,1,1,3,1,7,Detchd,1,240,0,0,126000
420,RL,65,8450,Pave,,Reg,NAmes,1Fam,1Story,5,6,1968,1968,Gable,1056,SBrkr,1056,0,1056,1,0,3,1,6,Attchd,1,304,0,0,142000
421,RM,78,7060,Pave,,Reg,Mitchel,Duplex,SFoyer,7,5,1997,1998,Gable,1344,SBrkr,1344,0,1344,2,0,2,2,8,Attchd,4,784,0,0,206300
422,RL,,16635,Pave,,IR1,NWAmes,1Fam,1Story,6,7,1977,2000,Gable,1602,SBrkr,1602,0,1602,2,0,3,1,8,Attchd,2,529,240,0,215000
423,RL,100,21750,Pave,,Reg,Mitchel,1Fam,1Story,5,5,1954,1954,Hip,988,FuseA,988,0,988,1,0,2,1,4,Attchd,2,520,0,0,113000
424,RL,80,9200,Pave,,Reg,NoRidge,1Fam,2Story,8,5,1998,1998,Gable,1470,SBrkr,1470,1160,2630,2,1,4,1,8,Attchd,3,696,0,0,315000
425,RL,72,9000,Pave,,Reg,NAmes,1Fam,1Story,6,5,1956,1956,Gable,1196,FuseA,1196,0,1196,1,0,2,1,6,Attchd,1,297,0,0,139000
426,RM,60,3378,Pave,Grvl,Reg,OldTown,1Fam,2Story,7,8,1946,1992,Gable,651,SBrkr,707,682,1389,1,1,3,1,6,Detchd,1,240,0,0,135000
427,RL,,12800,Pave,,Reg,SawyerW,1Fam,SLvl,7,5,1989,1989,Gable,1518,SBrkr,1644,0,1644,2,0,2,1,5,Attchd,2,569,80,0,275000
428,RL,77,8593,Pave,,IR1,NAmes,1Fam,1Story,4,6,1957,1957,Hip,907,SBrkr,907,0,907,1,0,3,1,5,Detchd,1,352,0,0,109008
429,RL,64,6762,Pave,,Reg,CollgCr,1Fam,1Story,7,5,2007,2007,Gable,1208,SBrkr,1208,0,1208,2,0,2,1,6,Attchd,2,628,105,0,195400
430,RL,130,11457,Pave,,IR1,Timber,1Fam,1Story,6,5,1988,1988,Gable,1392,SBrkr,1412,0,1412,2,0,3,1,6,Attchd,2,576,0,0,175000
431,RM,21,1680,Pave,,Reg,BrDale,Twnhs,2Story,6,5,1971,1971,Gable,483,SBrkr,483,504,987,1,1,2,1,4,Detchd,1,264,0,0,85400
432,RM,60,5586,Pave,,IR1,OldTown,1Fam,1.5Fin,6,7,1920,1998,Gable,901,SBrkr,1088,110,1198,1,0,4,1,7,,0,0,0,0,79900
433,RM,24,1920,Pave,,Reg,BrDale,TwnhsE,2Story,5,5,1971,1971,Gable,765,SBrkr,765,600,1365,1,1,2,1,6,Detchd,2,440,240,0,122500
434,RL,100,10839,Pave,,IR1,Gilbert,1Fam,2Story,6,5,1997,1998,Gable,926,SBrkr,926,678,1604,2,1,3,1,7,Attchd,2,470,0,0,181000
435,RM,21,1890,Pave,,Reg,MeadowV,Twnhs,SFoyer,4,7,1972,1972,Gable,630,SBrkr,630,0,630,1,0,1,1,3,,0,0,88,0,81000
436,RL,43,10667,Pave,,IR2,CollgCr,1Fam,2Story,7,6,1996,1996,Gable,799,SBrkr,827,834,1661,2,1,3,1,6,Attchd,2,550,158,0,212000
437,RM,40,4400,Pave,,Reg,OldTown,1Fam,1.5Fin,6,8,1920,1950,Gable,648,FuseA,734,384,1118,1,0,2,1,6,Detchd,2,440,0,0,116000
438,RM,50,6000,Pave,,Reg,BrkSide,1Fam,1.5Unf,6,7,1926,2004,Gable,884,SBrkr,904,0,904,1,0,2,1,4,Detchd,1,180,0,0,119000
439,RL,40,4280,Pave,,Reg,Crawfor,1Fam,1Story,5,6,1913,2002,Gable,440,SBrkr,694,0,694,1,0,2,1,4,Detchd,1,352,0,0,90350
440,RL,67,12354,Pave,Grvl,Reg,Edwards,1Fam,1.5Fin,6,8,1920,2000,Gable,684,SBrkr,684,512,1196,1,0,3,1,7,Detchd,2,528,0,0,110000
441,RL,105,15431,Pave,,Reg,NridgHt,1Fam,1Story,10,5,2008,2008,Hip,3094,SBrkr,2402,0,2402,2,0,2,1,10,Attchd,3,672,0,0,555000
442,RL,92,12108,Pave,,Reg,Edwards,Duplex,1Story,4,4,1955,1955,Gable,1440,FuseF,1440,0,1440,2,0,4,2,8,,0,0,0,0,118000
443,RM,52,6240,Pave,,Reg,BrkSide,1Fam,1.5Fin,5,7,1930,1992,Gable,1078,SBrkr,1128,445,1573,2,0,3,1,8,Detchd,2,360,0,0,162900
444,RL,53,3922,Pave,,Reg,Blmngtn,TwnhsE,1Story,7,5,2006,2007,Gable,1258,SBrkr,1258,0,1258,2,0,2,1,6,Attchd,3,648,144,0,172500
445,RL,70,8750,Pave,,Reg,CollgCr,1Fam,2Story,7,5,1994,1995,Gable,915,SBrkr,933,975,1908,2,1,4,1,8,Attchd,2,493,144,0,210000
446,RL,73,9855,Pave,,Reg,Edwards,1Fam,1Story,6,5,1956,1956,Hip,1436,SBrkr,1689,0,1689,1,0,3,1,7,Attchd,2,480,0,0,127500
447,RL,137,16492,Pave,,IR1,NAmes,1Fam,1Story,6,6,1966,2002,Gable,1517,SBrkr,1888,0,1888,2,1,2,1,6,Attchd,2,578,0,0,190000
448,RL,,11214,Pave,,IR1,Gilbert,1Fam,2Story,7,5,1998,1999,Gable,930,SBrkr,956,930,1886,2,1,4,1,10,Attchd,2,431,89,0,199900
449,RM,50,8600,Pave,,Reg,IDOTRR,1Fam,1.5Fin,6,6,1937,1950,Gable,780,SBrkr,780,596,1376,2,0,3,1,7,Detchd,1,198,0,0,119500
450,RM,50,6000,Pave,,Reg,OldTown,1Fam,1.5Fin,3,7,1948,2002,Gable,649,SBrkr,679,504,1183,1,1,2,1,6,Detchd,1,308,0,0,120000
451,RM,70,5684,Pave,,Reg,OldTown,1Fam,1Story,6,8,1930,2005,Hip,813,FuseA,813,0,813,1,0,2,1,5,Detchd,1,270,0,0,110000
452,RL,62,70761,Pave,,IR1,ClearCr,1Fam,1Story,7,5,1975,1975,Gable,1533,SBrkr,1533,0,1533,2,0,2,1,5,Attchd,2,576,200,0,280000
453,RL,,9303,Pave,,IR1,Timber,1Fam,2Story,6,5,1996,1997,Hip,872,SBrkr,888,868,1756,2,1,3,1,7,Attchd,2,422,144,0,204000
454,FV,75,9000,Pave,,Reg,Somerst,1Fam,2Story,8,5,2008,2008,Gable,768,SBrkr,786,804,1590,2,1,3,1,6,Attchd,2,676,0,0,210000
